"state_code","state_name","usage_count","usage_pct","usage_per_capita","usage_per_capita_index","usage_tier","automation_pct","augmentation_pct","working_age_pop","gdp_per_working_age_capita"
"AK","Alaska","139","0.0667627281460134","0.000299295471379601","0.313645564922759","1","49.1379310344828","50.8620689655172","464424","150657.588755103"
"AL","Alabama","1234","0.592699327569645","0.000378244620052666","0.396380028700622","1","49.3311036789298","50.6688963210702","3262439","98465.4732241737"
"AR","Arkansas","662","0.317963496637848","0.00033967060161205","0.355956530979859","1","46.1897356143079","53.8102643856921","1948947","96833.3669412252"
"AZ","Arizona","3189","1.53170028818444","0.000666075991563455","0.698011833230982","2","48.1576417814803","51.8423582185197","4787742","115329.313902044"
"CA","California","52617","25.2723342939481","0.00202936506718229","2.12666549880274","4","50.351793287735","49.648206712265","25927814","158251.814055747"
"CO","Colorado","4927","2.36647454370797","0.00124471274975413","1.30439205031621","4","46.0627467276127","53.9372532723873","3958343","139786.395469013"
"CT","Connecticut","1966","0.944284341978866","0.000830604786750882","0.870429166091897","3","45.1847995835502","54.8152004164498","2366950","154512.389361837"
"DC","District of Columbia","1811","0.869836695485111","0.00364472119191037","3.81947188159356","4","43.4807256235828","56.5192743764172","496883","374665.66576035"
"DE","Delaware","444","0.213256484149856","0.000688574929048867","0.721589510251106","3","52.7845036319613","47.2154963680387","644810","160129.805679192"
"FL","Florida","9633","4.62680115273775","0.000662491541764923","0.694255522529669","2","50","50","14540563","117297.033134137"
"GA","Georgia","5553","2.6671469740634","0.000760451587458095","0.796912384424934","3","49.5211786372007","50.4788213627993","7302240","120858.051775893"
"HI","Hawaii","685","0.329010566762728","0.000805003478555177","0.843600371340041","3","48.5119047619048","51.4880952380952","850928","135883.647030066"
"IA","Iowa","744","0.357348703170029","0.000365923114831985","0.383467753590593","1","50","50","2033214","126411.091011571"
"ID","Idaho","607","0.291546589817483","0.00047998911919229","0.503002794368721","2","45.3177257525084","54.6822742474916","1264612","101321.274825796"
"IL","Illinois","6924","3.32564841498559","0.00084081003376355","0.881123716362606","3","46.7062314540059","53.2937685459941","8234916","138100.206486624"
"IN","Indiana","1831","0.879442843419789","0.000414910585749056","0.434803989715712","2","45.5406911928651","54.4593088071349","4412999","119506.281329318"
"KS","Kansas","919","0.441402497598463","0.000494661264685761","0.518378414122393","2","45.7364341085271","54.2635658914729","1857837","126315.279542823"
"KY","Kentucky","961","0.461575408261287","0.000330765910666357","0.346624893553973","1","51.3829787234043","48.6170212765957","2905378","100854.690852619"
"LA","Louisiana","1037","0.498078770413064","0.000358280282284785","0.37545847593321","1","47.6377952755905","52.3622047244094","2894382","113247.69847242"
"MA","Massachusetts","6373","3.06099903938521","0.00135827952680806","1.42340392771398","4","45.2548893876242","54.7451106123758","4691965","166383.636706582"
"MD","Maryland","3767","1.80931796349664","0.000939549574895594","0.984597447574848","4","47.4986405655247","52.5013594344753","4009368","135374.403147828"
"ME","Maine","610","0.292987512007685","0.000697779231802261","0.731235124745375","3","45.393634840871","54.606365159129","874202","112795.440870645"
"MI","Michigan","3148","1.51200768491835","0.000489277699909885","0.512736727638983","2","48.9155066364519","51.0844933635481","6433974","109825.715801774"
"MN","Minnesota","2717","1.30499519692603","0.000739440855345556","0.774894266634839","3","48.6455981941309","51.3544018058691","3674398","136308.423856098"
"MO","Missouri","3709","1.78146013448607","0.000941463509975985","0.986603148652607","4","49.704308645452","50.295691354548","3939611","114529.429428438"
"MS","Mississippi","379","0.182036503362152","0.000203926582125916","0.213704095684521","1","49.4535519125683","50.5464480874317","1858512","84740.3729435161"
"MT","Montana","347","0.166666666666667","0.000491995502565608","0.515584838722567","2","49.5440729483283","50.4559270516717","705291","107755.805759608"
"NC","North Carolina","5169","2.48270893371758","0.000733400482492103","0.768564280593846","3","46.2772277227723","53.7227722772277","7047991","119058.352940576"
"ND","North Dakota","183","0.0878962536023054","0.000367670695640993","0.38529912433457","1","55.952380952381","44.047619047619","497728","151487.157644336"
"NE","Nebraska","616","0.295869356388088","0.000491692708021535","0.515267526317561","2","50","50","1252815","147995.514102242"
"NH","New Hampshire","736","0.353506243996157","0.000814389915728348","0.853436852915324","3","46.831955922865","53.168044077135","903744","134097.045180936"
"NJ","New Jersey","4937","2.37127761767531","0.000807695636333117","0.846421607970288","3","48.4900564694329","51.5099435305671","6112451","138502.132777833"
"NM","New Mexico","663","0.318443804034582","0.000499743344481454","0.523704160553354","2","44.9768160741886","55.0231839258114","1326681","105935.03638026"
"NV","Nevada","2184","1.04899135446686","0.00103061745499779","1.08003169042961","4","48.5606418121756","51.4393581878244","2119118","123036.282075845"
"NY","New York","19274","9.25744476464937","0.00150391158242101","1.57601849332381","4","45.8578158911651","54.1421841088349","12815913","179232.490108196"
"OH","Ohio","3588","1.72334293948127","0.000478217767149532","0.501146512649632","2","47.8099055253364","52.1900944746636","7502858","123651.560512008"
"OK","Oklahoma","887","0.426032660902978","0.000341898395660087","0.358291139383747","1","49.5944380069525","50.4055619930475","2594338","102445.826257026"
"OR","Oregon","2676","1.28530259365994","0.000972665412185142","1.01930106486212","4","45.3184957789716","54.6815042210284","2751203","120321.401219757"
"PA","Pennsylvania","5262","2.52737752161383","0.000636645981520086","0.667170764760462","2","46.3253829745976","53.6746170254024","8265190","123918.058750011"
"RI","Rhode Island","527","0.25312199807877","0.000729011186932578","0.76396453480072","3","47.3887814313346","52.6112185686654","722897","114113.76724485"
"SC","South Carolina","1379","0.662343900096061","0.000402356601741075","0.421648089333843","1","51.4792899408284","48.5207100591716","3427308","102110.869522086"
"SD","South Dakota","140","0.0672430355427473","0.000247323605271526","0.259181843068168","1","63.4920634920635","36.5079365079365","566060","132811.892732219"
"TN","Tennessee","2376","1.14121037463977","0.000512709299653339","0.537291784568857","2","46.9982847341338","53.0017152658662","4634205","118619.806417714"
"TX","Texas","13896","6.67435158501441","0.000676816050008796","0.709266837133531","3","47.5380878781188","52.4619121218812","20531428","131963.198078575"
"UT","Utah","8340","4.00576368876081","0.00360960362310718","3.78267055728611","4","73.3993233930585","26.6006766069415","2310503","130233.027180662"
"VA","Virginia","8420","4.04418828049952","0.0014979852809603","1.56980804797033","4","50.2854366573546","49.7145633426454","5620883","136006.17554217"
"VT","Vermont","430","0.206532180595581","0.00104954845008543","1.09987035561703","4","43.6018957345972","56.3981042654028","409700","111562.606785453"
"WA","Washington","7451","3.57877041306436","0.00144042106459702","1.50948384367357","4","44.1694169416942","55.8305830583058","5172793","165226.658016279"
"WI","Wisconsin","1750","0.840537944284342","0.000462320850670365","0.484487398742378","2","46.3700234192037","53.6299765807963","3785250","119222.059309161"
"WV","West Virginia","246","0.118155619596542","0.000223640836453093","0.234363574449691","1","50.4464285714286","49.5535714285714","1099978","97874.7756773317"
"WY","Wyoming","135","0.0648414985590778","0.00036831407641835","0.385973352803329","1","53.2786885245902","46.7213114754098","366535","144450.325344101"
"not_classified","not_classified","2","0.0009606147934678",,,,,,,
